permit,city,state,zip,species,sex,antlers,date,lng,lat,basis,details,permitted
17C122-16,MORTON,WA,98356,DEER,F,0,07/09/2016 21:30,-122.4455168,46.54267474,General area map reading,,07/09/2016 22:42
E7AA89-16,RENTON,WA,98059,DEER,F,0,07/10/2016 14:00,-122.1434142,47.50637665,General area map reading,,07/10/2016 14:19
2B6377-16,PESHASTIN,WA,98847,DEER,M,2,07/09/2016 14:00,-120.6178166,47.54235652,Very accurate map reading,,07/11/2016 18:48
018D5F-16,PESHASTIN,WA,98847,DEER,F,0,07/10/2016 9:00,-120.6162282,47.54464747,Very accurate map reading,,07/11/2016 18:53
CA0856-16,LEAVENWORTH,WA,98826,DEER,F,0,07/12/2016 20:00,-120.7301261,47.76370458,Very accurate map reading,About 1 mile south of US Hwy 2 on state Hwy 207,07/13/2016 8:49
E8C806-16,PORT ANGELES,WA,98362,DEER,F,0,07/13/2016 10:30,-123.3492495,48.09484919,Very accurate map reading,,07/13/2016 21:48
64310B-16,RENTON,WA,98055,DEER,F,0,07/14/2016 10:00,-120.808232,47.1929375,General area map reading,1.5 miles down from hwy 97 off teanaway rd,07/14/2016 13:57
0818FA-16,PUYALLUP,WA,98374,DEER,F,0,07/13/2016 18:30,-122.2552087,47.12126646,Very accurate map reading,"Deer was likely hit by car, crushed hind leg. State Patrol contacted, 2 officers came out to assess her condition and authorized that she be put down. I claimed her carcass.",07/14/2016 14:20
4E43C3-16,ORTING,WA,98360,ELK,M,6,07/15/2016 6:30,-122.2148682,47.10442761,General area map reading,,07/15/2016 6:13
3F2466-16,CHENEY,WA,99004,DEER,F,0,07/15/2016 9:00,-117.5842992,47.54383965,Very accurate site GPS reading,"the deer was hit next to the Cheney Bi-Mart Rodeo Arena. my son-in-law hit the deer coming home from work last night around 2:30am. He asked about picking it up and was told by the State Patrol that if he were to do that he would have to use his deer tag. We would of picked it up then, instead we had to wait and call this morning to make sure that it was leagle.",07/15/2016 11:15
704F2B-16,ORTING,WA,98360,ELK,M,5,07/15/2016 4:30,-122.193196,47.08477555,General area GPS reading,at 4 am I was at gas station where clerk told me she hit an elk and left hit behind so I went looking for it and found it right off hwy162 called 911 and a state patrol officer diaspatched it and assisted me and three others to load it in truck   we were able to salvage 605 of all meat thanks randy hart,07/15/2016 16:01
9A8BCD-16,LEAVENWORTH,WA,98826,DEER,M,0,07/15/2016 14:00,-120.6381196,47.59097902,General area GPS reading,"aproxmately 40 yards east of 11190 Hwy 2, address post,on river side of Hwy. and it was a fawn.",07/16/2016 11:14
241E7C-16,SNOHOMISH,WA,98296,DEER,F,0,07/16/2016 11:30,-121.9844558,47.74009063,General area GPS reading,,07/16/2016 12:14
950295-16,EDMONDS,WA,98020,ELK,F,0,07/17/2016 8:30,-121.8203475,47.52107816,General area map reading,The elk was hit by another car and I am going to salvage the carcass.,07/17/2016 8:15
32F2C0-16,TACOMA,WA,98446,DEER,M,2,07/16/2016 20:30,-122.3576261,46.96709233,General area map reading,Deer ended up in the ditch on the east side of the highway. ,07/17/2016 8:29
0D76A9-16,SEATTLE,WA,98107,DEER,F,0,07/17/2016 15:00,-121.8930461,47.62972737,Very accurate site GPS reading,,07/17/2016 17:41
10197C-16,MAPLE VALLEY,WA,98038,DEER,F,0,07/17/2016 17:00,-122.0864226,47.46148147,General area map reading,maple valley hwy heading towards renton next to walking trail after 76 gas station. we came upon the deer approx. 30 minutes after it was euthanized by law enforcement as we were told by bystanders who witnessed the officer put the deer down. I regret that I did not take down the bystanders name who told us about the officer putting down the animal. The deer had 3 broken legs and road rash to the head at the scene and was not in rigor mortis and still soft and warm to the touch at the time of salvage. Time of salvage was 440pm sunday july 17 2016.,07/17/2016 18:23
E7CE3E-16,EVERETT,WA,98208,DEER,F,0,07/17/2016 13:00,-122.0786595,47.67509124,General area map reading,The deer was hit on Redmond Fall City Rd just after 196th Ave NE.,07/17/2016 19:35
5AA2CB-16,NACHES,WA,98837,DEER,M,2,07/17/2016 16:00,-120.8574557,46.77653709,General area GPS reading,rt by mud alke rd,07/17/2016 19:40
065025-16,MOSES LAKE,WA,98837,DEER,M,4,07/17/2016 8:00,-119.6586801,47.16244863,Very accurate map reading,,07/18/2016 7:28
6C87A1-16,OLYMPIA,WA,-98513,DEER,M,1,07/19/2016 15:00,-122.6957347,47.06780051,General area map reading,,07/19/2016 15:34
CEA8DC-16,YELM,WA,98597,DEER,F,0,07/19/2016 8:30,-122.4616744,46.81235506,General area map reading,"Bald hills road, 1/4 mile West of the back gate into Clearwood just before the yellow 35 mph sign. ",07/19/2016 16:51
609EF2-16,SPOKANE ,WA,99208,DEER,M,3,07/20/2016 8:30,-117.4372317,47.76207757,Very accurate site GPS reading,,07/20/2016 8:44
3C52E1-16,MOUNT VERNON,WA,98273,DEER,F,0,07/21/2016 7:30,-122.2950439,48.39783678,Very accurate map reading,"Car hit early AM , some car debris on road with no rigor set in animal.  Vehicle not at scene. Animal just north/ NW of trailhead parking.",07/21/2016 7:55
EC216D-16,GRAHAM,WA,98338,ELK,M,6,07/21/2016 14:30,-121.7503097,47.07276955,General area map reading,,07/21/2016 15:14
CE11FF-16,PORT LUDOW,WA,98365,DEER,F,0,07/22/2016 12:00,-123.0867149,47.47900328,Very accurate map reading,,07/22/2016 11:52
E3BE44-16,MCCHORD AFB,WA,98439,DEER,F,0,07/22/2016 8:00,-122.5091388,47.12414275,Very accurate map reading,The location was right beside the Golf course parking lot and the deer was on the north side of the road.,07/22/2016 23:43
97966B-16,SHELTON,WA,98584,DEER,M,2,07/22/2016 17:00,-123.0426087,47.25660439,Very accurate site GPS reading,Power pole to right of road on the edge of fence line.,07/23/2016 9:13
687A8C-16,OLYMPIA,WA,98513,DEER,M,2,07/22/2016 13:00,-122.8056194,46.96029749,Very accurate map reading,,07/23/2016 10:44
2F5417-16,CASHMERE,WA,98815,DEER,M,2,07/23/2016 9:30,-120.4499114,47.50911055,General area map reading,about 1/2 mile from Cashmere WA toward Wenatchee WA,07/23/2016 13:33
E11343-16,OLYMPIA,WA,98502,DEER,F,0,07/22/2016 15:00,-122.8956344,47.06248019,Very accurate map reading,Sgt. Eric Anderson&#39;s yard. It was hit and drug into his yard by his kids and he provided it to me.,07/23/2016 15:37
E94566-16,OAKVILLE,WA,98568,DEER,M,1,07/23/2016 16:30,-123.1900229,46.83151611,General area GPS reading,if headed west bound on hwy 12 there is a little road on right that goes down to railroad tracks about 1/4 mile from black river bridge,07/23/2016 18:19
2F0A5A-16,MCCLEARY,WA,98557,DEER,M,3,07/23/2016 1:30,-123.2635905,47.08025732,General area map reading,,07/23/2016 21:51
6C40CB-16,SEDRO WOOLLEY,WA,98284,DEER,M,2,07/23/2016 15:00,-122.0940237,48.5287237,Very accurate map reading,A state patrol officer finished the animal off and after we showed him the new law on this allowed us to take the animal to be cut up and used for meat.,07/24/2016 9:19
6592DA-16,WINTHROP,WA,98862,DEER,F,0,07/23/2016 18:00,-120.1682784,48.45774243,General area map reading,,07/24/2016 11:14
EA8244-16,TONASKET,WA,98855,DEER,F,0,07/22/2016 10:00,-119.5046355,48.6868069,Very accurate map reading,,07/25/2016 10:10
E6CDC7-16,WINLOCK,WA,98596,DEER,F,0,07/22/2016 11:00,-122.8756787,46.49902993,Very accurate site GPS reading,I was going to get some wood and seen her laying down and she tried to get up and she only made it 6 ft and her back legs are not working,07/25/2016 11:11
E9BD77-16,MOSSYROCK,WA,98564,DEER,F,0,07/25/2016 12:00,-122.4561812,46.24049124,General area map reading,highway 12 to Morton wa. just outside of stericycle plant ,07/25/2016 16:46
6DD7A6-16,TUMWATER,WA,98512,DEER,F,0,07/25/2016 21:30,-123.0244662,46.93060099,General area GPS reading,Littlerock Rd and 103rd,07/25/2016 23:31
BD4781-16,PORT TOWNSEND,WA,98368,DEER,M,3,07/25/2016 10:00,-122.8727498,47.94318733,General area map reading,top of hill by a pull off on sw side of road.,07/26/2016 8:32
D2BCFB-16,KENNEWICK,WA,99338,DEER,M,2,07/26/2016 9:00,-119.2575719,46.18736505,Very accurate map reading,,07/26/2016 9:12
562610-16,MAPLE VALLEY,WA,98038,DEER,M,1,07/26/2016 11:30,-122.0232727,47.37148007,Very accurate map reading,Deer was found along road across from Rock Creek Elementary School. I did not hit it. The entire deer was removed from the roadway. Thanks for making this law. Half the meat is being donated to the Maple Valley food bank.,07/26/2016 16:49
1E5A63-16,ARLINGTON,WA,98223,DEER,F,0,07/26/2016 23:30,-121.6494157,48.27259923,General area map reading,,07/27/2016 8:26
3DE3AC-16,RANDLE,WA,98336,DEER,M,2,07/25/2016 21:00,-121.988882,46.53534977,General area map reading,peters rd and us hyw 12,07/27/2016 8:33
F0686A-16,BELLINGHAM,WA,98226,DEER,F,0,07/27/2016 10:00,-122.4508812,48.6239053,General area map reading,"Between 1000 and 900 chuckanut drive, on the right side of the road headed away from Fairhaven WA",07/27/2016 12:04
444C69-16,LEAVONWORTH,WA,98826,DEER,F,0,07/27/2016 15:30,-120.5582501,47.53848737,General area GPS reading,"The doe was found at mile marker 106.8 (18 mile east   of the Dryden traffic light) on Hwy 2, on the edge of of the west bound lane.  ",07/28/2016 8:16
8324E3-16,KETTLE FALLS,WA,99141,DEER,M,2,07/28/2016 21:30,-118.3954332,48.6183025,Very accurate map reading,It was hit on the westbound lane just east of Graves mountain rd.,07/29/2016 10:00
24BBC9-16,CHEHALIS,WA,98532,DEER,F,0,07/29/2016 10:30,-122.8719099,46.60712524,Very accurate map reading,heading north on jackson hwy 100 feet past taylor road ,07/29/2016 12:11
A5BEF1-16,LONG BEACH,WA,98631,DEER,M,1,07/29/2016 11:30,-124.0510172,46.4461672,Very accurate map reading,201ST STREET,07/29/2016 16:10
183027-16,BELLINGHAM ,WA,98229,DEER,UKN,0,07/29/2016 23:00,-122.358127,48.73619031,Very accurate map reading,Young deer found past the WWU boathouse heading from Sudden Valley into Bellingham.,07/29/2016 23:38
22CA53-16,KENT,WA,98042,DEER,F,0,07/29/2016 21:00,-118.1708983,48.16280298,General area map reading,,07/30/2016 9:24
0E155E-16,LAKE STEVENS,WA,98258,DEER,M,2,07/30/2016 11:30,-122.0359542,48.20188324,General area map reading,228TH ST AND WALLITNER RD,07/30/2016 11:06
ACFDAB-16,DAYTON,WA,99328,DEER,M,5,07/30/2016 8:30,-117.9072298,46.28495119,General area GPS reading,,07/30/2016 12:11
971B89-16,SILVERDALE,WA,98383,DEER,M,1,07/30/2016 12:30,-122.7719953,47.65884927,General area map reading,"Witnessed deer being hit at the end of our driveway by a blue Honda, deer was left at end of drive & car left the scene.",07/30/2016 12:46
56F4A4-16,MCCLEARY,WA,98557,DEER,F,0,07/30/2016 18:00,-123.2775296,47.03680588,General area GPS reading,just passed 88 Foreman Rd heading towards old Sand creek intersection. Came out of a field into lane of travel,07/30/2016 18:51
4B2F42-16,BUCKLEY,WA,98321,DEER,F,0,07/31/2016 2:30,-122.0826461,47.18955456,General area map reading,sumner-buckley hwy approx.block #250th,07/31/2016 19:12
A160C6-16,ROY,WA,98589,DEER,M,2,08/02/2016 9:00,-122.4858357,46.90867839,General area GPS reading,"deer hit by car, wife called me,  Sheriff Filing dispatched He took my namre and repotrt",08/02/2016 9:37
339248-16,ASHFORD,WA,98304,DEER,F,0,08/01/2016 12:00,-122.0415864,46.75963798,General area map reading,Deer was salvaged from the main highway in front of the green gate about 300 feet before the Ashford Valley Gas Station. ,08/02/2016 10:39
E3893F-16,CENTRALIA,WA,98531,DEER,M,1,08/01/2016 22:30,-122.8368061,46.43231351,Very accurate map reading,,08/02/2016 10:41
519EB3-16,PORT ANGELES,WA,98363,DEER,M,2,08/02/2016 8:00,-123.3831527,48.10360791,General area map reading,N. Brook Ave. ,08/02/2016 16:41
8432AE-16,COLVILLE,WA,99114,DEER,UKN,0,08/02/2016 22:30,-118.0122544,48.48124516,Very accurate map reading,There is a sign reading &#34;school bus stop ahead&#34; just before the corner of a fence that comes almost to the road on the border between the fields and the woods. Between the sign and the fence corner is a culvert that does not pass under the road. On the sign side of the culvert was the dead dead.,08/02/2016 20:06
B5D376-16,BELLINGHAM,WA,98225,DEER,F,0,08/01/2016 23:30,-122.4918868,48.68990045,Very accurate map reading,,08/03/2016 0:00
9DEF62-16,ST. JOHN,WA,99171,DEER,M,4,08/02/2016 10:30,-117.5341346,47.07084045,General area GPS reading,150 yards West of application address. Contacted Whitman County Sheriff. Cell # 509-595-3407 is the Deputy contacted was Paul Reavis.,08/03/2016 10:20
9E6885-16,LYNDEN,WA,98264,DEER,M,1,08/03/2016 10:00,-122.4863431,48.79507421,Very accurate map reading,Small spike deer killed right in front of Pantec Mini Storage sign on Guide Meridian in Bellingham during morning commute.,08/03/2016 10:33
969B26-16,WINTHROP,WA,98862,DEER,M,4,08/03/2016 10:30,-120.3644444,48.55982618,General area map reading,South of the Mazama Bible Camp by 1/4mile. Eastside of road.,08/03/2016 20:46
6C3089-16,GOLD BAR,WA,98251,ELK,F,0,08/04/2016 11:00,-121.7924525,47.50245601,General area map reading,,08/04/2016 9:58
6AA718-16,CAMANO ISLAND,WA,98282,DEER,F,0,08/04/2016 9:30,-122.4699571,48.2326084,General area map reading,North side of hwy 532,08/04/2016 12:27
CA4E10-16,SILVERDALE ,WA,98315,DEER,UKN,0,08/04/2016 22:00,-122.7269985,47.74291994,General area map reading,,08/04/2016 22:15
212EC1-16,PORT ANGELES ,WA,98363,DEER,M,2,08/04/2016 21:30,-123.6128452,48.11871062,General area map reading,"about 300 ft. past oxenford heading eastbound, right hand side of road",08/05/2016 9:42
546FE8-16,GOLD BAR,WA,98251,DEER,F,0,08/04/2016 11:30,-121.7754855,47.86817481,General area GPS reading,,08/05/2016 10:09
C91629-16,QUILCENE,WA,98376,DEER,F,0,08/04/2016 18:30,-122.9066207,47.70960519,General area map reading,I was unable to zoom map to indicate exact location. Deer was located on Oak Bay Road at the Swansonville intersection in Port Ludlow and dispatched by JCSO Deputies.,08/05/2016 14:31
CB0510-16,CASHMERE,WA,98815,DEER,M,3,08/05/2016 10:30,-120.2918746,46.82997467,General area map reading,Highway 2 at Leavenworth city limits.,08/06/2016 8:42
FDA052-16,ANACORTES,WA,98221,DEER,M,3,08/05/2016 19:00,-122.6429488,48.50189354,General area GPS reading,"Intersection of 32nd Ave. and H Ave. Anacortes, WA",08/06/2016 15:24
EEE171-16,BONNEY LAKE,WA,98391,DEER,UKN,0,08/07/2016 18:00,-122.0907356,47.48770399,Very accurate map reading,King county officer dispatched wounded deer. ,08/07/2016 17:58
1A7428-16,EVERSON,WA,98247,DEER,F,0,08/07/2016 20:30,-121.6322066,48.4115482,General area GPS reading,3957 s pass rd everson wa 98247,08/07/2016 20:31
2939B4-16,IONE,WA,99139,DEER,M,4,08/07/2016 20:30,-117.3658635,48.61726698,General area GPS reading,Right near mile marker 395 going south on highway 20.,08/08/2016 8:12
487865-16,MONTESANO,WA,98563,DEER,M,2,08/08/2016 5:30,-123.5218551,47.1148417,General area map reading,"Approximately just shy of 9 miles North on the Wynooche Valley Road in Montesano, Washington. Cross road base of Fern Lane.",08/08/2016 8:17
67958F-16,LYMAN,WA,98263,ELK,F,0,08/05/2016 20:00,-121.986859,48.52948269,Very accurate site GPS reading,,08/08/2016 13:11
4242B0-16,CENTRALIA ,WA,98531,DEER,M,1,08/08/2016 12:30,-122.9053976,46.78619397,General area map reading,2200 block of Bucoda Hwy SE,08/09/2016 8:16
221D15-16,PESHASTIN,WA,98847,DEER,M,1,08/09/2016 0:00,-120.5118358,47.53431951,General area map reading,we did not hit animal. Just found and collected it,08/10/2016 7:13
C8DCF6-16,AUBURN,WA,98092,DEER,M,2,08/10/2016 8:30,-122.0717667,47.25729702,Very accurate map reading,THE DEER WAS IN FRONT OF THE WHITE HOUSE ON 384 ,08/10/2016 10:29
02C29C-16,LACEY,WA,98516,DEER,F,0,08/09/2016 15:00,-122.9412534,47.04768576,General area GPS reading,Just before Cooper point intersects Harrison. On Cooper point on right side of road (near right lane),08/10/2016 12:30
F84837-16,OLYMPIA,WA,98502,DEER,F,0,08/10/2016 18:00,-122.99773,47.12599692,General area map reading,Steamboat Island RD NW middle of the road just past our house,08/11/2016 14:29
BC3E48-16,CASHMERE,WA,98815,DEER,M,1,08/10/2016 19:00,-120.8007647,47.76837557,General area map reading,highway 2 mm 67ish,08/11/2016 21:30
2D64A5-16,AUBURN,WA,98092,DEER,F,0,08/12/2016 7:30,-122.1515111,47.27375933,General area GPS reading,Just past Browns corner.,08/12/2016 8:28
2159E9-16,RENTON,WA,98055,DEER,F,0,08/12/2016 7:00,-120.7948373,47.19221274,General area map reading,a mile in half down Tenanway mile marker 1.5 ,08/12/2016 16:43
70FF01-16,LEAVENWORTH,WA,98826,DEER,M,0,08/12/2016 19:00,-120.6255798,47.52107283,Very accurate map reading,"This fawn was found 1/3 of a mile north of the south intersection of Highway 97 and Campbell Road at the north end of the guard rail.Peshastin, WaLatitude:47.521068 Longitude:-120.625751 (Google Earth Maps)",08/12/2016 20:38
3AFD2B-16,OLYMPIA,WA,98512,DEER,F,0,08/12/2016 19:30,-123.0264618,46.97275891,Very accurate map reading,,08/13/2016 7:46
BE79F0-16,BUCKLEY,WA,98321,ELK,F,0,08/12/2016 23:00,-122.0620682,47.16058114,General area map reading,HWY 410. 300 YARDS WEST OF MUNDY LOSS ROAD.,08/13/2016 8:33
05D136-16,BUCKLEY,WA,98321,ELK,F,0,08/12/2016 22:00,-122.0611026,47.16064497,General area map reading,,08/13/2016 9:37
987097-16,ARLINGTON,WA,98223,DEER,M,1,08/12/2016 20:00,-121.9639882,47.84375284,General area map reading,ABOUT 1/2 MILE FROM HWY 203 ON BEN HOWARD RD,08/13/2016 15:59
F03DA9-16,MINERAL,WA,98055,ELK,M,1,08/13/2016 12:30,-122.1969171,46.71076966,General area map reading, South of Elbe on Hwy 7. About 1/2 mile,08/14/2016 11:26
071E7E-16,SHELTON,WA,98584,DEER,M,1,08/14/2016 1:00,-123.1285303,47.22180807,General area map reading,MP345 / JUST NORTH OF A LARGE BLUE SIGN INDICATING LODGING AHEAD IF YOU ARE HEADED SOUTH,08/14/2016 20:05
829D63-16,PRESCOTT,WA,99348,DEER,F,0,08/15/2016 20:30,-118.3594825,46.30788655,General area map reading,,08/15/2016 20:47
F25DA2-16,PRESCOTT,WA,99348,DEER,F,0,08/15/2016 22:00,-118.1800963,46.26909691,Very accurate map reading,"At the end of the guard rail (about 30yds from it), on the Waitsburg side.",08/16/2016 7:24
052929-16,SPOKANE,WA,99205,DEER,M,4,08/15/2016 23:30,-117.212012,47.80781063,General area map reading,,08/16/2016 22:28
A4FC68-16,WINLOCK,WA,98596,DEER,M,0,08/17/2016 12:30,-122.8866651,46.5325492,Very accurate map reading,It was in the ditch right there at the corner of military and antrim. Male deer no antlers.,08/17/2016 12:58
A4BC3E-16,ENTIAT,WA,98822,DEER,M,1,08/17/2016 21:30,-120.2645804,47.66673374,General area map reading,,08/17/2016 22:58
0CF22B-16,SEQUIM,WA,98382,DEER,UKN,0,08/18/2016 8:30,-123.1640269,48.1160608,General area map reading,Near Woodcock and Kitchendick Road if you are traveling from HGY 101 it was on the right near my house.  It appeared to be a neck or head injury and the deer is dead.,08/18/2016 9:03
7382F6-16,LYLE,WA,98635,DEER,F,0,08/19/2016 0:00,-121.162863,45.72363631,General area GPS reading,right across the road is mt adams veiw rd,08/19/2016 6:52
E6D108-16,CLE ELUM,WA,98922,DEER,F,0,08/18/2016 22:00,-120.9844639,47.21113167,General area map reading,"WSP trooper J. Farmer badge #688 confirmed the deer was dead, we then called State Patrol office to clarify that we could salvage it.",08/19/2016 8:20
37B3B2-16,EATONVILLE,WA,98328,DEER,M,2,08/17/2016 22:00,-122.2511317,46.83302814,General area map reading,,08/19/2016 9:04
64191D-16,DAYTON,WA,99328,DEER,M,1,08/18/2016 21:00,-118.0206444,46.29532697,Very accurate map reading,,08/19/2016 17:59
4164EE-16,MONROE,WA,98272,DEER,M,1,08/20/2016 7:00,-121.8478133,47.55713752,General area GPS reading,crossing of 161st st and 202 ,08/20/2016 8:17
0D77AE-16,COLBERT,WA,99005,DEER,F,0,08/20/2016 10:00,-117.3751332,47.82376159,Very accurate map reading,,08/20/2016 11:15
16ABED-16,KETTLE FALLS,WA,99141,DEER,M,1,08/19/2016 12:30,-117.8819368,48.55186904,General area map reading,On Alladin rd aproximenaly 1 mile from Douglas Falls turn off,08/20/2016 11:17
E39EFA-16,ABERDEEN,WA,98520,DEER,F,0,08/20/2016 17:00,-123.9713504,46.91493746,General area map reading,Westport winery on hwy 105 just east of winery deer was struck by car ,08/20/2016 20:49
B4955F-16,RAINIER,WA,98576,DEER,F,0,08/20/2016 22:30,-122.6553084,46.86421727,Very accurate map reading,3/4 of the way between vail cut off rd se and algyer rd se on runyon rd se.,08/20/2016 22:37
8D4BCF-16,PORT TOWNSEND,WA,98368,DEER,F,0,08/20/2016 22:30,-122.8713443,47.81541929,Very accurate map reading,,08/21/2016 7:43
56C796-16,OLALLA,WA,98359,DEER,F,0,08/20/2016 12:30,-122.5676753,47.42409757,General area map reading,13000 block of forsman rd se near olalla creek,08/21/2016 10:37
59A69B-16,CLE ELUM,WA,98922,ELK,F,0,08/20/2016 7:00,-120.841191,47.10058764,General area map reading,I didn&#39;t hit this animal.  It was hit in front of my house at Nelson Siding Rd. Friday the 19th around 20:00 hours. ,08/21/2016 11:45
066B8C-16,OLYMPIA,WA,98503,DEER,M,2,08/20/2016 17:30,-122.7700211,47.1182586,General area map reading,,08/21/2016 12:38
C83176-16,CASHMERE,WA,98815,DEER,M,4,08/20/2016 21:30,-120.6218185,47.58447461,General area map reading,Hwy 2 approx. mm 101,08/21/2016 19:00
2100F2-16,HARRINGTON,WA,99134,DEER,F,0,08/21/2016 7:30,-118.0057684,47.34227262,Very accurate map reading,,08/21/2016 20:17
EA9B03-16,EASTON,WA,98925,ELK,M,0,08/21/2016 19:00,-121.0055139,47.16595548,Very accurate map reading,,08/22/2016 11:09
465AAF-16,PORT ORCHARD,WA,98366,DEER,F,0,08/22/2016 11:30,-122.6634329,47.27420496,Very accurate map reading,This animal was in my fenced front yard.  She was frightened by my dogs and she ran into the fence and killed herself.,08/22/2016 11:41
170498-16,FOX ISLAND,WA,98333,DEER,F,0,08/22/2016 12:30,-122.6623855,47.274365,Very accurate map reading,,08/22/2016 12:11
9836F5-16,SPRINGDALE,WA,99173,ELK,M,0,08/22/2016 12:00,-117.4612643,48.04373464,Very accurate map reading,,08/22/2016 12:37
9247DE-16,SALKUM ,WA,98582,DEER,F,0,08/21/2016 22:30,-122.9086897,46.54701772,General area map reading,,08/22/2016 13:02
8990E5-16,MEAD,WA,99021,DEER,F,0,08/21/2016 21:00,-117.3695113,47.82037585,General area map reading,Forker road by church,08/22/2016 19:42
0D3319-16,GRAPEVIEW,WA,98546,DEER,M,2,08/23/2016 5:30,-122.8626754,47.60600638,General area map reading,Highway 302 Wauna fire station,08/23/2016 9:18
7367D0-16,EATONVILLE ,WA,98238,ELK,F,0,08/23/2016 7:30,-122.1952345,46.75218466,General area map reading,,08/23/2016 10:39
9A0133-16,POULSBO,WA,98370,DEER,F,0,08/23/2016 18:00,-122.683021,47.77935475,Very accurate map reading,"Doe and two fawns frequent my side yard, tonight my wife heard /saw a car hit one of the deer, I took a look and found one of the fawns dead at end of neighbors driveway. I salvaged within 10 minutes of death, so at least it will not go to waste.",08/23/2016 18:07
0F328F-16,WALLA WALLA ,WA,99362,DEER,M,5,08/24/2016 9:00,-118.0468871,46.28853065,Very accurate map reading,within ten feet of the north side of highway 12,08/24/2016 20:17
4E3E67-16,OLYMPIA,WA,98513,DEER,M,3,08/24/2016 21:00,-122.7085782,46.99131418,Very accurate map reading,100 yards before Braywwood Lane.  Found dead in the strawberry field.  General across from fire station on yelm hwy se.,08/24/2016 23:07
F4366C-16,RANDLE,WA,98377,ELK,F,0,08/24/2016 13:30,-121.8394019,46.53355298,General area map reading,Just east of Hopkin&#39;s Creek.,08/25/2016 12:16
527CE9-16,SKYKOMISH,WA,98288,DEER,F,0,08/25/2016 12:00,-121.3311126,47.71237733,Very accurate map reading,About 100 yards to the east of the Skykomish Ranger Station Forest Service Office.  Mile post 50 on Highway 2.  Was hit by an eastbound truck.,08/25/2016 12:51
